Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
11,2.4589,2.4589,0.1475,181.8438,135.6250,142.9688,0.5544,1,1,421,545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6567,0.5077,0.0971,1.9695,20.6404,0.5333,2024-04-08,1.7694,5.4208,1.7694,75.2083,2.3900,3.9331,15.0000,-70.0000,0.0000,1.3816,0.0000,0.2543,6.2196,1.5814,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,21,28,266,0,150.2500,8.5932,9CF6A10D-0D4E-40F8-9472-D8BCE5B57C60,2,15.6020,1.3408,0.7862,1.0541,0.7559,0.0000,0.0000,0.0000,8.3442,39,0.0000,0,0.0000,0.0000,4808.0000,0.3415,10:32:55,2024-04-08T10:32:55.542,0.6736,2.900470e+00,8.340436e+01,1.3860
12,5.7324,5.7324,0.5285,180.5362,131.3043,129.5217,0.5544,1,1,448,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6584,0.7190,0.7383,1.3909,15.1309,1.0000,2024-04-08,2.7016,3.6498,2.7016,63.0645,2.4530,1.8203,20.0000,-90.0000,0.1797,0.8477,0.0000,0.5494,6.2133,3.4133,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,18,23,296,0,145.8116,5.2668,1EC3976A-51B3-4E4C-809F-D5804E454F2C,1,19.2532,1.3749,0.7174,0.9864,1.2724,0.0000,0.0000,0.0000,12.3432,40,0.0000,0,0.0000,0.0000,10061.0000,0.6111,10:32:55,2024-04-08T10:32:55.603,0.2598,1.032436e+01,2.545692e+01,2.2176
13,1.0758,1.0758,0.2583,184.2857,137.4286,142.1429,0.5544,1,1,215,116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8651,0.3873,0.0776,2.5821,14.5181,0.3011,2024-04-08,1.1703,3.5112,1.1703,22.5000,2.5620,5.9438,25.0000,-60.0000,0.0000,1.0414,0.0000,0.1682,5.0573,0.8509,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,22,22,321,0,151.7143,5.2668,FDE4AB1F-78A7-45B8-A2EA-8ACCFEAEFF2B,2,11.8163,1.3410,0.7713,1.0343,0.8139,0.0000,0.0000,0.0000,3.0338,42,0.0000,0,0.0000,0.0000,2124.0000,0.7334,10:32:55,2024-04-08T10:32:55.721,0.6667,8.393354e-01,2.266550e+01,1.6632
14,2.0747,2.0747,0.2482,180.2593,131.2593,145.1852,0.5544,1,1,845,749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6379,0.4837,0.1005,2.0675,19.0605,0.4219,2024-04-08,1.6253,4.8972,1.6253,62.0000,2.6250,4.2604,-30.0000,60.0000,0.0000,1.2587,0.0000,0.2347,5.9461,1.3957,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,22,26,345,0,147.4815,7.4844,DF5E3E33-796F-4C46-AEF9-6B4948B55A24,2,14.6834,1.3733,0.8054,1.1061,0.7704,0.0000,0.0000,0.0000,8.1120,43,0.0000,0,0.0000,0.0000,3982.0000,0.4230,10:32:55,2024-04-08T10:32:55.779,0.6681,2.247963e+00,6.149533e+01,1.9404
15,10.1931,10.1931,0.6230,159.1263,121.3158,125.5368,0.5544,1,1,456,585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7513,0.9139,0.8648,1.0942,16.9726,1.0000,2024-04-08,3.6025,4.2966,3.6025,91.1875,2.6250,1.0000,40.0000,-85.0000,0.0000,1.1621,0.0000,1.0000,5.0093,5.0093,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,21,22,373,0,133.1053,5.8212,F0F64892-E3B0-4BCE-8757-26F557DBF653,1,20.0372,1.3117,0.7889,1.0348,1.1806,0.0000,0.0000,0.0000,17.7926,43,0.0000,0,0.0000,0.0000,12645.0000,0.6976,10:32:55,2024-04-08T10:32:55.779,0.1615,2.448067e+01,4.153110e+01,3.0492
16,1.8442,1.8442,0.1302,172.7083,133.1667,134.3333,0.5544,1,1,62,493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7220,0.6430,0.0728,1.5551,19.3023,0.4528,2024-04-08,1.5323,4.9588,1.5323,73.7500,2.6250,2.4829,35.0000,-55.0000,0.0000,2.0079,0.0000,0.4028,4.2796,1.7237,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,24,25,397,0,145.1250,8.5932,6777A251-FA3A-4BE2-8A15-D15F5C0BC44F,2,12.0066,1.2969,0.7778,1.0088,0.6220,0.0000,0.0000,0.0000,8.2982,43,0.0000,0,0.0000,0.0000,3483.0000,0.7493,10:32:55,2024-04-08T10:32:55.779,0.6910,1.883911e+00,6.384522e+01,1.3860
17,1.3831,1.3831,0.1106,193.6111,137.6667,138.9444,0.5544,1,1,342,367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7641,0.4474,0.0224,2.2352,28.2632,0.1885,2024-04-08,1.3270,7.8848,1.3270,35.0000,2.6250,4.8143,-45.0000,55.0000,0.0000,2.4170,0.0000,0.2077,5.1609,1.0720,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,28,33,424,0,154.5556,12.4740,773DEB40-6FB3-4C01-AF6C-BE42456B42C6,2,12.4658,1.4064,0.7176,1.0093,0.4411,0.0000,0.0000,0.0000,4.4500,43,0.0000,0,0.0000,0.0000,2782.0000,0.6864,10:32:55,2024-04-08T10:32:55.779,0.8317,1.223636e+00,2.566674e+02,1.3860
18,6.0541,6.0541,0.7489,188.5070,137.5211,140.3380,0.5544,1,1,207,850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6683,0.2671,0.3777,3.7443,21.7105,0.5504,2024-04-08,2.7764,5.7750,2.7764,33.5769,2.6870,9.6596,-60.0000,0.0000,1.0951,0.4773,0.0000,0.1035,14.5188,1.5030,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,25,24,459,0,153.0563,6.9300,998DBCA8-D3B4-448C-8D86-59F407ECFFDB,2,32.0438,1.3707,0.7445,1.0205,1.4760,0.0000,0.0000,0.0000,5.2592,44,0.0000,0,0.0000,0.0000,10867.0000,0.5498,10:32:55,2024-04-08T10:32:55.837,0.5192,1.120555e+01,1.008451e+02,4.7124
19,29.4949,29.4949,0.7954,173.0684,98.4737,87.3421,0.5544,1,1,221,389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8638,1.0000,0.9734,1.0000,23.9704,1.0000,2024-04-08,6.1281,6.4218,6.1281,173.2381,2.6870,1.0000,-20.0000,-90.0000,0.0000,1.1927,0.0000,1.0000,6.7398,6.7398,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,24,27,485,0,119.5158,8.0388,B0281B29-F0FA-425E-8D5F-36B8D085BF88,1,26.9590,1.7575,0.5047,0.8870,1.1247,0.0000,0.0000,0.0000,17.2101,44,0.0000,0,0.0000,0.0000,22708.0000,0.8922,10:32:55,2024-04-08T10:32:55.837,0.0457,1.204990e+02,1.386657e+02,5.2668
20,2.0747,2.0747,0.1998,175.5926,134.8148,152.6296,0.5544,1,1,421,627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7192,0.6374,0.1452,1.5688,15.4950,0.6429,2024-04-08,1.6253,3.7884,1.6253,78.1429,2.7340,2.5338,-25.0000,65.0000,0.0000,1.3904,0.0000,0.3947,4.5855,1.8098,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,18,26,514,0,149.0000,6.3756,D85CD259-1CFD-4D39-A7E8-6C48E33FF920,2,12.7906,1.3025,0.8692,1.1321,0.8255,0.0000,0.0000,0.0000,9.3966,45,0.0000,0,0.0000,0.0000,4023.0000,0.5353,10:32:55,2024-04-08T10:32:55.896,0.5710,2.247963e+00,2.846860e+01,1.3860
